Aplicación,Empresa,Posición ,Fecha,Informacion de contacto,Resultado al momento,url,Bolsas de presencia: ,Detalles,,Junta ARC,
75,caliente casino,Analista de Datos,05/12/25,,,"https://www.glassdoor.com.mx/Empleo/nuevo-león-data-analyst-empleos-SRCH_IL.0,10_IS5742_KO11,23.htm",glassdoor,,,4,
76,wexpand,Analista de datos,05/12/25,,,"https://www.glassdoor.com.mx/Empleo/nuevo-león-data-analyst-empleos-SRCH_IL.0,10_IS5742_KO11,23.htm",glassdoor,,,4,
77,Lumina Software,Científico de Datos,05/12/25,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=07a5931b1e9b5638,glassdoor,,,4,
78,Redwood logistics,Data Analyst,05/12/25,,,"https://www.glassdoor.com.mx/job-listing/data-analyst-redwood-logistics-JV_KO0,12_KE13,30.htm?jl=1009935009131&src=GD_JOB_AD&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ao=1136043&jrtk=5-yul1-0-1jbegb4uj20cl000-daa7d4f5f4aa8273&cs=1_40862d26&s=58&t=SR&pos=109&guid=0000019add05938fa97dd1a02aed6043&jobListingId=1009935009131&ea=1&vt=w&cb=1764644721877&ctt=1764644763991",glassdoor,,,4,
79,Dimex ,Especialista de Ciencia de Datos,05/12/25,llamar a: 8120003292,,https://www.occ.com.mx/empleos/de-data/en-nuevo-leon/?smax=30000&smin=20000&jobid=20870454,occ,Primera entrevista sondeo de RH. Prepararme sobre la empresa y sobre mi experiencia. ,,4,
80,incFile,Artificial Intelligence Research / Data Scientist - Advanced English,05/12/25,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=4e1a6f2e433d49cf&advn=9383771290990951,indeed,,,4,
81,Tort Experts,BI engineer,05/12/25,,,https://mx.indeed.com/jobs?q=tort&l=&from=searchOnDesktopSerp&cf-turnstile-response=0.itwmhUV6BzEt_3pQpcnw8IsC4E0U5cTyLHrRU-v0C5EJXea8K5NzCK819K1_iBVcFbXfniflDoQ6WTIN3WL-c7rcbeE6yMbFR1Ei3Ph5LrgexyBRd-mJ7BkhTCDWhP07jpPE87Fbrwkb3ggIYOHNECC84I4EYxeIptpGNtt3nzj3KRwbIxwkuKUsRJ9BhKtvb08Qpzvlb4JWR2mt-LYbz5rXbsM8w1xV1n9l8Q98LmebnPIk78vL1HyxGldPNMi5wmb6N0-Nj7TaQkHwTtDNrRWOvq0-iIRh9Pz6peGTYJdnemSJs43AN7pMvugWP5ObyW0XydFE7at49absFuDhJMcnj1ctBGUSmLNogFVqXVqRtQplBLYvRVAsdGrf_ziV7KjEbIOiRJLUHWOsJ4XWBHPlh9SkQPLgRaFMrzE_eA27BXP2Z5V2qfkTYd9jQVaqkL4yv4rU7pLFlEf_teYfbHNkaY35qmMJ4L6ArDvukav6L-Esma74qkdAeC6-UDdblLV_IWOElSTV2Yz6XRYEWb02FDPkTo3A7bRehmmuv37WLSF327Kba5puIhILDcQhrpA_ucIXsdtK8ONtysx0lJqBjU92xM1AM2hNsVmzugSpG0y-YT8tb1IqEcqi7AAHeDionNxTgwfTUv8zBqRRv5C-XH68pizTFbPrz0qStecZhItceT1EZCuqkDU_8uSLmJKYgM6nbEXbc_mt1QIrVzV602LMMjPIMWZ4HO9Xi5N1VlWaMRhLPtSGPOPe6e3YdqJqXcVh5mlnnMiEeNS8TvlbSesHiIducAF-yg0XLA5dvnFx3WJ05pPaGmc0pAwWG7cVn-YItRTILCUB1nmq0JzkH1WtMYwSjVvixs_GwvcwWdddAK3tLQ4PgLTu3jzlqG8qtiyfHwuSUxmdo81AA7LmreFbYhWLt5Mk5fAqzhs6MKh_tb7gfMqJHEGnQOr-EkizFwKedsMIGqs0W_MOSA.w-nrsfaocTnvFuxOXNDSzQ.689fadc08ad32472677cf4490473a95043050087e332cdbc423e3ca78333e8ec&vjk=d3674498fd89feba,indeed,,,4,
82,Informática Sa de CV,Analista Desarrollador,05/12/25,,,https://mx.computrabajo.com/trabajo-de-data-en-nuevo-leon#5BF6B56765A5811E61373E686DCF3405,ct,,,4,
83,ManPowerGroup,Analista de Datos,05/12/25,,,https://mx.computrabajo.com/trabajo-de-data-en-nuevo-leon?p=2#63DE261C45FA885C61373E686DCF3405,ct,,,4,
84,Tecnológico de Monterrey,Especialista en análisis de datos,05/12/25,,,https://www.occ.com.mx/empleos/de-data/en-nuevo-leon/?smax=30000&smin=20000&jobid=20876169,occ,,,4,
85,Avahi,Data Scientist,05/12/25,,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4336254692,linkedin,,,4,
86,Baufest,Data Reporting Analist,05/12/25,Brighitte Avila;Hablé con ella,,https://www.linkedin.com/jobs/view/4337010282/?alternateChannel=search&eBP=CwEAAAGa7_apgNkWRTvUXwFKHWc_Ils3rQZHm5njv7YFbmgykfv2-Y6WClhNomnJJErzPngfXI2IVZo1GJK8HXySgkhUCUA28XD9s9V7-h-OUpfLJwO77fBYcHI2a_MSq9nCWLMrqYPvOlGmgtV-bDViLgJzrgPutLKF4V5lFw8TdbGIzFMFo_kF16pwkfXwUEi0QoGmhr1uBb0uJMhAJdNNp1Lj0CAV6tN65KPcGyMXv6Ii_4lFWsjSKnwEA5Q7cEcVCbl-i-cx_OcwXHCWDpvdZQCZ-5f2sQxqbrs7Qda0wV8xieacxftzFAHE9hCOnuKEEjSs1RSOWM-JcW8wJ0z9pMC8m1GlxDC4sf1Arj3uPaWMoUT86OvamzKKvCEJtg7Wm5kt_dV7WXITz_VueQAHnxVWR3S5Y5o0vTWj6qlNUgS5DU4UY2MGwKdSUExTbBh863XsirCSmOqxa86kr9CZYN6h6RiUsSdOx8RoiB0sXRwbuvDl&refId=dSNkGS6VtnRtyarcju9XNA%3D%3D&trackingId=1oak46OEOU%2F9Z8zF8Zf6KA%3D%3D&trk=d_flagship3_jobs_discovery_jymbii,linkedin,,,4,
87,Dematic,Jr. Data Base,05/12/25,Elizabeth Hernández; Hablar con ella,,https://www.linkedin.com/jobs/view/4324416598/?alternateChannel=search&eBP=CwEAAAGa7_apgNFQMQ88SfZNXamsRJM9Ggv48LwRaIG5AXfkjyWVde73DVOkdtVZOneG400tegcDCMK4Ip_fG3En7a55NVihLsl16w5gOmAM48XuuXcSeVK8e1ccZRZNyKYP2iI_9m3yztckHWrSHGd0XvZB7309QdvzWfVsmtkj2qevDC6ESFuoqcUA33Dzbjj3euulfODZgz-ljk_R93ZT78GVm8wiZMAKqdcrrmrxe4NmFLKg0W3yid3kvqeJDHMWuuAD7VsIdSMzVcuDWaA2TZCkyFNIR6Z6_K5HvN0E_9mZLaMKjvzUzCe4SxUlvxgjJOTx4uc6p4pnkoLhzj5lJuzF0PxOdJh1uYX57_jBEvavEY1VSktzgw15evMXYlCNIvOaEXaWxfj96_At5ooIpNOtnal6Jseuh5Mq249_WkFYn7omOfecRU_Kobu_JfvtjvhzQOkjdnVrNVQ-DjZI4Su3jPV6Tet-ig6XFAYc194p0A&refId=%2BkntYey8NXuN02P%2B8jFXmg%3D%3D&trackingId=sn%2FmiiOZD0V2w6a9LMZjzQ%3D%3D&trk=d_flagship3_postapply_default_confirmation,linkedin,,,4,
88,Artefact,Analytics Engineer México,05/12/25,No hay opción para hablar/reclutador(a) listado en la posición,cerró posición no se movió para adelante. ,https://www.linkedin.com/jobs/view/4268646729/?alternateChannel=search&eBP=CwEAAAGa7_apgX--3seXP1uvt02ichPcSOyP0QcoKDv_EDRiI6MIMc4W9N764cmB2e-pDa6ewUWnwumnXYoxIL-zGKY6uYwljx5ZFjJIEg_nD7JsiaCH-qZxqLU_Ap9H4aGX8bh6bHMVOaq94qyrwNQtx-h8ZELkwnGuilhwytOk-N62CB_cX-B6oMCKoPgRvonWr9noexQ2gqXM_aEn_faG1ktmR_HN_wpnGSf8pqu051r-_NiJbsPfwowZ-bb1sB6xggiou9GLe1lEVV88ZXgOVa9OICdfp6b02ifEb62BNhF2VdNoj2tC-lBI88UPyEHgtVHkKxSHnEoD9-rMLDrDg8dkRsFcW_-69LbJW5once3sPT8b34Ct--7qggab5f-PyzbWjnvbw1vphQ00PVs8dtcT8qWMhQ60viVL6ca2Pcg9Cba0IG3mjpqvBIClV9bmOQRbOa9zjlaw2lmG5TCY7qj6Adt1204J3tXd2AwI-7oOqA&refId=%2BkntYey8NXuN02P%2B8jFXmg%3D%3D&trackingId=wueHAxXcYCqwABw9WTOI%2FA%3D%3D&trk=d_flagship3_postapply_default_confirmation,linkedin,,,4,
89,workspark,Media Operations Analyst,08/12/25,,,https://mx.computrabajo.com/trabajo-de-data-analyst-en-nuevo-leon#ADEEC86D5B94894561373E686DCF3405,ct,,,4,
90,Capgemini,FBS Report Builder,08/12/25,,,https://mx.indeed.com/?from=jobsearch-empty-whatwhere&vjk=3238b549763edf74,Indeed,,,4,
91,Phrac international,Business Analyst,09/12/25,,,https://www.occ.com.mx/empleos/de-data/en-nuevo-leon/?smax=30000&smin=20000&jobid=20868111,OCC,"healthcare, buena paga, 2 días remoto, en MTY. ",,4,
92,Capgemini,Data Scientist,09/12/25,,,https://mx.indeed.com/?from=jobsearch-empty-whatwhere&vjk=5dcdf912480597a9,indeed,,,4,
93,Dimex ,Especialista de Ciencia de Datos,10/12/25,Arlette Citlali Guadalupe Navarro Juarez. Correo por Gmail. ,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20870454,occ,,,4,
94,ODIX,Data Scientist,10/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20844719,occ,buena paga. ,,4,
95,Lumina Software,Data Scientist,10/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20849017,occ,,,4,
96,Monterrey IT cluster,Científico de Datos JR,10/12/25,,,https://www.occ.com.mx/empleo/oferta/20862662/?returnURL=empleos%2fde-data-science%2fen-nuevo-leon%2f%3fsmax%3d30000%26smin%3d20000%26jobid%3d20849017&sec=sim&simval=0.0#lc=OfferDetail-Similars-3,occ,,,4,
97,Tecnoap,Data Scientist Jr,10/12/25,8127455724,,https://www.occ.com.mx/empleo/oferta/20801671/?returnURL=%2fempleos%2fde-data-science%2fen-nuevo-leon%2f%3fsmax%3d30000%26smin%3d20000%26jobid%3d20849017&sec=sim&simval=0.0#lc=OfferDetail-Similars-2,occ,,,4,
98,Braintrust,Biology Expert W Python,10/12/25,,,https://www.linkedin.com/jobs/view/4324378706/?alternateChannel=search&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=bhbjqH5LFhG%2BjVXkU30YrA%3D%3D&trackingId=sJc93GpP%2FuaNIyJkYTT1rA%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BO15yBQHiR22o2w2Uy6KONQ%3D%3D,linkedin,"freelance, did an assesment",,4,
99,Dtroy,Analìtica de costos y Data Science,11/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20849072,occ,,,4,
100,Envia flores,Marketing Insights Specialist,11/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20884591,occ,"Es SQL, Python, Dashboards (BI). ",,4,
101,Fultra,Analista de Datos,11/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20871236,occ,,,4,
102,Mucho Red,Data Analyst,12/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20843995,occ,,,4,
103,Xploy Solutions,Data Analyst,12/12/25,Lipa Schartz (mandè mensaje),,https://www.linkedin.com/jobs/search/?currentJobId=4326425855&geoId=92000000&keywords=bio&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&start=50,linkedin ,,,4,
