Aplicación,Empresa,Plataforma,Fecha,Descripción de experiencia,Resultado al momento,url,Bolsas de presencia: ,Detalles,,Junta ARC
29,Artefact,Científico de datos jr ,,3 semanas en contactar desde 29/10/25 o declinado. ,Apliqué,"https://www.linkedin.com/jobs/search/?currentJobId=4283427319&f_WT=2%2C3&geoId=92000000&keywords=""scientist""&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&spellCorrectionEnabled=true&start=25",linkedin,"Cover Letter. Jr. Python, BI, SQL. ",,3
30,CLEBER,Practicante de Desarrollo en Tableau ,,,Apliqué,https://mx.smartapply.indeed.com/beta/indeedapply/form/review-module,indeed,Medio tiempo. 9K a 12K. Requisitos son tener bases de análisis y visualización. Se puede aprender ahí. 15 minutos de trayecto. ,,3
31,Rackspace technologies,Data Engineer Trainee,,,Apliqué,https://jobs.lever.co/rackspace/be8898d4-783d-400e-b25d-18784e273d11/apply,remote,"AWS, Python, SQL. Fuente de desarrollo enorme por mentoría por expertos, completamente remoto y con consideración flexible de competencias. ",,3
32,Constructor,A/B testing and customer onboarding. ,,,Apliqué,"https://www.glassdoor.com.mx/job-listing/data-analyst-ab-tests-and-customer-onboarding-remote-constructor-JV_KO0,52_KE53,64.htm?jl=1009883440664&cs=1_7b4c0e42&s=58&t=NS&pos=105&src=GD_JOB_AD&guid=0000019a32a356f79e13ec1bbcff3632&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&jobListingId=1009883440664&ea=1&ao=1136043&vt=w&cb=1761786156978&ctt=1761786160516",glassdoor,"SQL, Python, Bi. ",,3
33,Insight Global,Data Scientist,,,Apliqué,"https://www.linkedin.com/jobs/search/?currentJobId=4319115179&f_WT=2%2C3&geoId=92000000&keywords=""scientist""&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&spellCorrectionEnabled=true&start=100",linkedin,Need to rush BI. ,,3
34,,Administrative Assistant,,,Apliqué,,linkedin; Daniela Mejía,,,3
35,,Científico de Datos Jr,,,Apliqué,,linkedin; Gibran Jair,,,3
36,Grupo Ti,Cientifico de Datos,,,Apliquè,https://mx.computrabajo.com/trabajo-de-data-scientist#C6DB711FA4BB7C3261373E686DCF3405,ct ,ana.gonzalez@grupotimexico.com.mx,,3
37,Helicon,Analista de datos,,,Apliqué,https://mx.indeed.com/?from=gnav-applymgt--app-tracker-webapp&vjk=303bb58b66316c28,indeed,,,3
38,Scalepex,,,,Apliqué,https://mx.indeed.com/viewjob?from=app-tracker-post_apply-appcard&hl=es&jk=e01ab1e6178fc83a&tk=1j98n07ftgiqj800,indeed,,,3
39,Robles venture,,,,Apliqué,https://www.occ.com.mx/empleos/de-cientifico-de-datos/en-nuevo-leon/?smax=30000&smin=20000&jobid=20775216,occ,,,3
40,Informática de América ,"PowerBI, SQL, Python ",,,Apliqué,https://www.occ.com.mx/empleos/de-sql/en-nuevo-leon/?smax=30000&smin=20000,occ,,,3
41,Monterrey IT cluster,Analista de Gobierno de Datos Jr,,,Apliqué,https://www.occ.com.mx/empleos/de-sql/en-nuevo-leon/?smax=30000&smin=20000&page=2&jobid=20807811,occ,,,3
42,,analista de datos,,,Apliqué,https://www.occ.com.mx/empleos/de-sql/en-nuevo-leon/?smax=30000&smin=20000&page=4&jobid=20734889,occ,,,3
43,daltile,Ingeniero de mantenimiento predictivo de datos,,,Apliqué,https://www.occ.com.mx/empleos/de-sql/en-nuevo-leon/?smax=30000&smin=20000&page=5&jobid=20747826,occ,,,3
44,improvado ,Analyst Jr,,Elena Yakimova,Apliqué,"https://www.linkedin.com/jobs/search/?currentJobId=4334552263&geoId=105701034&keywords=""data%20scientist""%20&origin=JOB_SEARCH_PAGE_LOCATION_AUTOCOMPLETE&refresh=true",linkedin,"4ta ronda 14/6/2025 9 am, sergey.manaev@improvado.io; mejorar en sql pero fuera de eso cool. ","Después de 4 rondas, decidieron no continuar con mi candidatura. ",3
45,Remoto workforce,Data Analyst,,,Apliqué,https://www.linkedin.com/jobs/collections/hiring-in-network/?currentJobId=4334451319&originToLandingJobPostings=4337723997%2C4316359205%2C4312344857,linkedin,,,3
46,Thermofisher,Associate Patient Data Specialist,,,Apliqué,https://jobs.thermofisher.com/global/en/job/R-01322182/Associate-Patient-Data-Specialist?rx_ch=jobpost&rx_id=27c16dca-b41b-11f0-b7ab-1f1305eec847&rx_job=R-01322182_rxr-1&rx_medium=post&rx_paid=0&rx_r=none&rx_source=linkedin&rx_ts=20251106T024003Z&rx_vp=linkedindirectindex&utm_medium=post&utm_source=recruitics_linkedindirectindex&refId=34jd24&rx_viewer=19b926969a9e11f0bab0519aba7cb30fbcb9baffaa004f5e900c0dd1a7e39bf0,linkedin ,,,3
47,Nielsen IQ,Data Scientist - Intern,,,Aplique,https://www.linkedin.com/jobs/view/4320714412/?refId=VfnaOShJT0ucAQIKyQIjhA%3D%3D&trackingId=HL%2FfpXHsT%2BST%2Bn%2Bgv6fO8Q%3D%3D,linkedin,,,3
48,Randstand,Data Engineer Jr.,,,apliqué,https://www.linkedin.com/jobs/view/4340082946/post-apply/default/?postApplyJobId=4340082946&refId=X%2FolXbbdty%2BQyCMQ33%2FQWg%3D%3D&trackingId=X%2FolXbbdty%2BQyCMQ33%2FQWg%3D%3D,linkedin,,,3
49,Genestack ltd,Scientific Data Curator,,,Apliqué,https://torre.ai/post/OwGXgV3d-genestack-ltd-scientific-data-curator?t=1762977827996&r=CvM7NtCW,torre ai,,,3
50,Thermofisher,Associate Patient Data Specialist,,,Apliqué,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4318944847,linkedin,,,3
51,UNOSQUARE!!,Data Engineer Jr.,,,Mandé currículo y mensaje. ,"Post, Jaqueline Chavez; le mandé el CV",linked in ,,,3
52,,,,,,,,,,3
53,Hector Sosa,Data AI engineer,,,En proceso ,,,,,3
54,E connect,Cientifico de Datos,,,APliqué ,https://mx.computrabajo.com/trabajo-de-analista-de-datos-en-nuevo-leon#BB13120EE2E29A2561373E686DCF3405,CT,,,3
55,Sigma,Analista de bases de datos,,,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4321219290,linkedin,María Elena Vásquez Avila,,3
56,Banregio,Ciencia de Datos y analítica,,,,https://www.linkedin.com/jobs/search/?currentJobId=4318928919&geoId=105701034&origin=JOB_COLLECTION_PAGE_LOCATION_AUTOCOMPLETE&refresh=true,,,,3
57,Scalepex,Data Scientist,,,,https://www.linkedin.com/jobs/collections/remote-jobs/?currentJobId=4281921381&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII,,,,3
58,IDS comercial ,Data Analyst,,,,https://mx.computrabajo.com/trabajo-de-analista-de-datos-en-nuevo-leon?p=2#03F9F0D76B99F62F61373E686DCF3405,CT,,,3
59,Mucho Red,Data Analyst,,,,https://www.occ.com.mx/empleos/de-data/en-nuevo-leon/?smax=30000&smin=20000&jobid=20843995,OCC,,,3
60,grupo ayvi,Analista de datos,,,,https://www.occ.com.mx/empleos/de-data/en-nuevo-leon/?smax=30000&smin=20000&page=2&jobid=20839769,occ,,,3
61,Invisible,Stem Specialist - AI trainer,,,,https://job-boards.eu.greenhouse.io/agency/jobs/4606955101?gh_src=4551efb2teu,Linkedin,,,3
62,Genestack,Bioinformatic development,,,,https://www.linkedin.com/jobs/search/?currentJobId=4232818069&f_C=2896685&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4225882218%2C4232818069%2C4291364285%2C4281246163%2C4303819404%2C4271585263%2C4314082291%2C4210021043%2C4340652874&trk=d_flagship3_company_posts,linkedin,,,3
63,Tort Experts,Data Analyst,,1era ronda pasada. 2da en proceso. ,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=531377429752fd40,indeed,"1era ronda completada. Psicométricos, habilidades de razonamiento. 40 minutos. Por recibir correos de seguimiento en gmail. ",,3
64,Caterpillar,Data Scientist,,,https://cat.wd5.myworkdayjobs.com/en-US/CaterpillarCareers/userHome,https://careers.caterpillar.com/en/jobs/r0000332095/data-scientist-santa-catarina-facility/?source=Indeed,indeed,Llenar encuestas para postular. ,Se llenó una encuesta y se volvió a mandar el CV. ,3
65,Improvado,Junior Analyst,,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=8c6557a37c050af3,indeed,"Se ocupará 30 minutos de una tarea, 2 problemas SQL y otra entrevista con manager de reclutador si deciden continuar con mi candidatura. ",,3
66,Confidencial ,Analista Jr de inteligencia comercial,,,,https://www.occ.com.mx/empleos/de-analista-o-ciencia-de-datos/en-nuevo-leon/?smax=30000&smin=20000&jobid=20840971,occ,,,3
67,Sas,Analista de importación y exportación,,,,https://mx.computrabajo.com/trabajo-de-analista-de-datos-en-nuevo-leon#EB6D732ED5C70B4761373E686DCF3405,ct,,,3
68,ManPowerGroup,Analista de Datos,,,,https://mx.computrabajo.com/trabajo-de-analista-de-datos-en-nuevo-leon?p=2#EA82A268100B828361373E686DCF3405,CT,,,3
69,Paired,Jr. Data Scientist,,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=680b5cba28bcc60f,indeed,,,3
70,Skydropx,Data Engineer Jr,,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=15f572f4c7bd4e4b,indeed,,,3
71,Capgemini,FBS Associate Decission Scientist,,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=4459ed9324ab411d,indeed,,,3
72,Capgemini,FBS Data Analyst-PowerBI,,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=3b4d616f9c8e31fa,indeed,,,3
73,Impulssamex,Analista de Datos,,,,https://mx.computrabajo.com/trabajo-de-data-en-nuevo-leon,ct,Desventajas trabajo los sábados. ,,4
74,Tecnoap,Científico de Datos,,,,https://www.tecnoap.com/ads/data-scientist-2/,glassdoor,,,4
75,caliente casino,Analista de Datos,,,,"https://www.glassdoor.com.mx/Empleo/nuevo-león-data-analyst-empleos-SRCH_IL.0,10_IS5742_KO11,23.htm",glassdoor,,,4
76,wexpand,Analista de datos,,,,"https://www.glassdoor.com.mx/Empleo/nuevo-león-data-analyst-empleos-SRCH_IL.0,10_IS5742_KO11,23.htm",glassdoor,,,4
77,Lumina Software,Científico de Datos,,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=07a5931b1e9b5638,glassdoor,,,4
78,Redwood logistics,Data Analyst,,,,"https://www.glassdoor.com.mx/job-listing/data-analyst-redwood-logistics-JV_KO0,12_KE13,30.htm?jl=1009935009131&src=GD_JOB_AD&uido=A6C9677A21DE3AF98CE6FF54EB8626F6&ao=1136043&jrtk=5-yul1-0-1jbegb4uj20cl000-daa7d4f5f4aa8273&cs=1_40862d26&s=58&t=SR&pos=109&guid=0000019add05938fa97dd1a02aed6043&jobListingId=1009935009131&ea=1&vt=w&cb=1764644721877&ctt=1764644763991",glassdoor,,,4
79,Dimex ,Especialista de Ciencia de Datos,,llamar a: 8120003292,,https://www.occ.com.mx/empleos/de-data/en-nuevo-leon/?smax=30000&smin=20000&jobid=20870454,occ,Primera entrevista sondeo de RH. Prepararme sobre la empresa y sobre mi experiencia. ,,4
80,incFile,Artificial Intelligence Research / Data Scientist - Advanced English,,,,https://mx.indeed.com/?from=gnav-jobseeker-profile--profile-one-frontend&vjk=4e1a6f2e433d49cf&advn=9383771290990951,indeed,,,4
81,Tort Experts,BI engineer,,,,https://mx.indeed.com/jobs?q=tort&l=&from=searchOnDesktopSerp&cf-turnstile-response=0.itwmhUV6BzEt_3pQpcnw8IsC4E0U5cTyLHrRU-v0C5EJXea8K5NzCK819K1_iBVcFbXfniflDoQ6WTIN3WL-c7rcbeE6yMbFR1Ei3Ph5LrgexyBRd-mJ7BkhTCDWhP07jpPE87Fbrwkb3ggIYOHNECC84I4EYxeIptpGNtt3nzj3KRwbIxwkuKUsRJ9BhKtvb08Qpzvlb4JWR2mt-LYbz5rXbsM8w1xV1n9l8Q98LmebnPIk78vL1HyxGldPNMi5wmb6N0-Nj7TaQkHwTtDNrRWOvq0-iIRh9Pz6peGTYJdnemSJs43AN7pMvugWP5ObyW0XydFE7at49absFuDhJMcnj1ctBGUSmLNogFVqXVqRtQplBLYvRVAsdGrf_ziV7KjEbIOiRJLUHWOsJ4XWBHPlh9SkQPLgRaFMrzE_eA27BXP2Z5V2qfkTYd9jQVaqkL4yv4rU7pLFlEf_teYfbHNkaY35qmMJ4L6ArDvukav6L-Esma74qkdAeC6-UDdblLV_IWOElSTV2Yz6XRYEWb02FDPkTo3A7bRehmmuv37WLSF327Kba5puIhILDcQhrpA_ucIXsdtK8ONtysx0lJqBjU92xM1AM2hNsVmzugSpG0y-YT8tb1IqEcqi7AAHeDionNxTgwfTUv8zBqRRv5C-XH68pizTFbPrz0qStecZhItceT1EZCuqkDU_8uSLmJKYgM6nbEXbc_mt1QIrVzV602LMMjPIMWZ4HO9Xi5N1VlWaMRhLPtSGPOPe6e3YdqJqXcVh5mlnnMiEeNS8TvlbSesHiIducAF-yg0XLA5dvnFx3WJ05pPaGmc0pAwWG7cVn-YItRTILCUB1nmq0JzkH1WtMYwSjVvixs_GwvcwWdddAK3tLQ4PgLTu3jzlqG8qtiyfHwuSUxmdo81AA7LmreFbYhWLt5Mk5fAqzhs6MKh_tb7gfMqJHEGnQOr-EkizFwKedsMIGqs0W_MOSA.w-nrsfaocTnvFuxOXNDSzQ.689fadc08ad32472677cf4490473a95043050087e332cdbc423e3ca78333e8ec&vjk=d3674498fd89feba,indeed,,,4
82,Informática Sa de CV,Analista Desarrollador,,,,https://mx.computrabajo.com/trabajo-de-data-en-nuevo-leon#5BF6B56765A5811E61373E686DCF3405,ct,,,4
83,ManPowerGroup,Analista de Datos,,,,https://mx.computrabajo.com/trabajo-de-data-en-nuevo-leon?p=2#63DE261C45FA885C61373E686DCF3405,ct,,,4
84,Tecnológico de Monterrey,Especialista en análisis de datos,,,,https://www.occ.com.mx/empleos/de-data/en-nuevo-leon/?smax=30000&smin=20000&jobid=20876169,occ,,,4
85,Avahi,Data Scientist,05/12/25,,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4336254692,linkedin,,,4
86,Baufest,Data Reporting Analist,05/12/25,Brighitte Avila;Hablé con ella,,https://www.linkedin.com/jobs/view/4337010282/?alternateChannel=search&eBP=CwEAAAGa7_apgNkWRTvUXwFKHWc_Ils3rQZHm5njv7YFbmgykfv2-Y6WClhNomnJJErzPngfXI2IVZo1GJK8HXySgkhUCUA28XD9s9V7-h-OUpfLJwO77fBYcHI2a_MSq9nCWLMrqYPvOlGmgtV-bDViLgJzrgPutLKF4V5lFw8TdbGIzFMFo_kF16pwkfXwUEi0QoGmhr1uBb0uJMhAJdNNp1Lj0CAV6tN65KPcGyMXv6Ii_4lFWsjSKnwEA5Q7cEcVCbl-i-cx_OcwXHCWDpvdZQCZ-5f2sQxqbrs7Qda0wV8xieacxftzFAHE9hCOnuKEEjSs1RSOWM-JcW8wJ0z9pMC8m1GlxDC4sf1Arj3uPaWMoUT86OvamzKKvCEJtg7Wm5kt_dV7WXITz_VueQAHnxVWR3S5Y5o0vTWj6qlNUgS5DU4UY2MGwKdSUExTbBh863XsirCSmOqxa86kr9CZYN6h6RiUsSdOx8RoiB0sXRwbuvDl&refId=dSNkGS6VtnRtyarcju9XNA%3D%3D&trackingId=1oak46OEOU%2F9Z8zF8Zf6KA%3D%3D&trk=d_flagship3_jobs_discovery_jymbii,linkedin,,,4
87,Dematic,Jr. Data Base,05/12/25,Elizabeth Hernández; Hablar con ella,,https://www.linkedin.com/jobs/view/4324416598/?alternateChannel=search&eBP=CwEAAAGa7_apgNFQMQ88SfZNXamsRJM9Ggv48LwRaIG5AXfkjyWVde73DVOkdtVZOneG400tegcDCMK4Ip_fG3En7a55NVihLsl16w5gOmAM48XuuXcSeVK8e1ccZRZNyKYP2iI_9m3yztckHWrSHGd0XvZB7309QdvzWfVsmtkj2qevDC6ESFuoqcUA33Dzbjj3euulfODZgz-ljk_R93ZT78GVm8wiZMAKqdcrrmrxe4NmFLKg0W3yid3kvqeJDHMWuuAD7VsIdSMzVcuDWaA2TZCkyFNIR6Z6_K5HvN0E_9mZLaMKjvzUzCe4SxUlvxgjJOTx4uc6p4pnkoLhzj5lJuzF0PxOdJh1uYX57_jBEvavEY1VSktzgw15evMXYlCNIvOaEXaWxfj96_At5ooIpNOtnal6Jseuh5Mq249_WkFYn7omOfecRU_Kobu_JfvtjvhzQOkjdnVrNVQ-DjZI4Su3jPV6Tet-ig6XFAYc194p0A&refId=%2BkntYey8NXuN02P%2B8jFXmg%3D%3D&trackingId=sn%2FmiiOZD0V2w6a9LMZjzQ%3D%3D&trk=d_flagship3_postapply_default_confirmation,linkedin,,,4
88,Artefact,Analytics Engineer México,05/12/25,No hay opción para hablar/reclutador(a) listado en la posición,cerró posición no se movió para adelante. ,https://www.linkedin.com/jobs/view/4268646729/?alternateChannel=search&eBP=CwEAAAGa7_apgX--3seXP1uvt02ichPcSOyP0QcoKDv_EDRiI6MIMc4W9N764cmB2e-pDa6ewUWnwumnXYoxIL-zGKY6uYwljx5ZFjJIEg_nD7JsiaCH-qZxqLU_Ap9H4aGX8bh6bHMVOaq94qyrwNQtx-h8ZELkwnGuilhwytOk-N62CB_cX-B6oMCKoPgRvonWr9noexQ2gqXM_aEn_faG1ktmR_HN_wpnGSf8pqu051r-_NiJbsPfwowZ-bb1sB6xggiou9GLe1lEVV88ZXgOVa9OICdfp6b02ifEb62BNhF2VdNoj2tC-lBI88UPyEHgtVHkKxSHnEoD9-rMLDrDg8dkRsFcW_-69LbJW5once3sPT8b34Ct--7qggab5f-PyzbWjnvbw1vphQ00PVs8dtcT8qWMhQ60viVL6ca2Pcg9Cba0IG3mjpqvBIClV9bmOQRbOa9zjlaw2lmG5TCY7qj6Adt1204J3tXd2AwI-7oOqA&refId=%2BkntYey8NXuN02P%2B8jFXmg%3D%3D&trackingId=wueHAxXcYCqwABw9WTOI%2FA%3D%3D&trk=d_flagship3_postapply_default_confirmation,linkedin,,,4
89,workspark,Media Operations Analyst,08/12/25,,,https://mx.computrabajo.com/trabajo-de-data-analyst-en-nuevo-leon#ADEEC86D5B94894561373E686DCF3405,ct,,,4
90,Capgemini,FBS Report Builder,08/12/25,,,https://mx.indeed.com/?from=jobsearch-empty-whatwhere&vjk=3238b549763edf74,Indeed,,,4
91,Phrac international,Business Analyst,09/12/25,,,https://www.occ.com.mx/empleos/de-data/en-nuevo-leon/?smax=30000&smin=20000&jobid=20868111,OCC,"healthcare, buena paga, 2 días remoto, en MTY. ",,4
92,Capgemini,Data Scientist,09/12/25,,,https://mx.indeed.com/?from=jobsearch-empty-whatwhere&vjk=5dcdf912480597a9,indeed,,,4
93,Dimex ,Especialista de Ciencia de Datos,10/12/25,Arlette Citlali Guadalupe Navarro Juarez. Correo por Gmail. ,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20870454,occ,,,4
94,ODIX,Data Scientist,10/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20844719,occ,buena paga. ,,4
95,Lumina Software,Data Scientist,10/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20849017,occ,,,4
96,Monterrey IT cluster,Científico de Datos JR,10/12/25,,,https://www.occ.com.mx/empleo/oferta/20862662/?returnURL=empleos%2fde-data-science%2fen-nuevo-leon%2f%3fsmax%3d30000%26smin%3d20000%26jobid%3d20849017&sec=sim&simval=0.0#lc=OfferDetail-Similars-3,occ,,,4
97,Tecnoap,Data Scientist Jr,10/12/25,8127455724,,https://www.occ.com.mx/empleo/oferta/20801671/?returnURL=%2fempleos%2fde-data-science%2fen-nuevo-leon%2f%3fsmax%3d30000%26smin%3d20000%26jobid%3d20849017&sec=sim&simval=0.0#lc=OfferDetail-Similars-2,occ,,,4
98,Braintrust,Biology Expert W Python,10/12/25,,,https://www.linkedin.com/jobs/view/4324378706/?alternateChannel=search&eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=bhbjqH5LFhG%2BjVXkU30YrA%3D%3D&trackingId=sJc93GpP%2FuaNIyJkYTT1rA%3D%3D&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BO15yBQHiR22o2w2Uy6KONQ%3D%3D,linkedin,"freelance, did an assesment",,4
99,Dtroy,Analìtica de costos y Data Science,11/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20849072,occ,,,4
100,Envia flores,Marketing Insights Specialist,11/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20884591,occ,"Es SQL, Python, Dashboards (BI). ",,4
101,Fultra,Analista de Datos,11/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20871236,occ,,,4
102,Mucho Red,Data Analyst,12/12/25,,,https://www.occ.com.mx/empleos/de-data-science/en-nuevo-leon/?smax=30000&smin=20000&jobid=20843995,occ,,,4
103,Xploy Solutions,Data Analyst,12/12/25,Lipa Schartz (mandè mensaje),,https://www.linkedin.com/jobs/search/?currentJobId=4326425855&geoId=92000000&keywords=bio&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&start=50,linkedin ,,,4
104,Farmacias Benavides,Desarrollador BI,12/12/25,,,https://www.linkedin.com/jobs/search/?currentJobId=4342644172&geoId=92000000&keywords=bio&origin=JOB_SEARCH_PAGE_JOB_FILTER&refresh=true&start=50,linkedin,,,4
105,Data Annotation,Anotación de prompts,15/12/2025,,,https://app.dataannotation.tech/workers/starter_assessment_complete,linkedin,freelance (se tienen que esperar proyectos. ,,4
106,Mercor,Academic Research Specialist,15/12,,,,linkedin,,,4
107,Helix and Co,Jr. Data Analyst,15/12,,,https://www.linkedin.com/jobs/search/?currentJobId=4343742504&geoId=92000000&keywords=data&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,linkedin ,,,4
108,joinrs,Ciencia de Datos,16/12,,,https://www.joinrs.com/es/job-offers/438208/?utm_source=linkedin&utm_medium=job-offer-es&utm_campaign=438208-internal,linkedin ,"Como baires dev, apliqué a una candidatura si tienen puestos afines me contactarán. ",,4
